,attachments,author_id,context_annotations,created_at,entities,geo,id,lang,possibly_sensitive,public_metrics,source,text
0,"{'media_keys': ['3_1571984952882872320', '3_1571984952891260935']}",23413078,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1434808763832094722', 'name': 'We Rate Dogs'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697078762958848', 'name': 'Pet Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Pets such as pet food, toys, cleaning'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '852262932607926273', 'name': 'Pets', 'description': 'Pets'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '853980498816679937', 'name': 'Dogs', 'description': 'Dogs'}}, {'domain': {'id': '120', 'name': 'Digital Creator', 'description': 'Influencers who create content on digital platforms'}, 'entity': {'id': '1434808763832094722', 'name': 'We Rate Dogs'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839543325212319744', 'name': 'Animals'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839543456678596608', 'name': 'Digital creators'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '852262932607926273', 'name': 'Pets', 'description': 'Pets'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '853980498816679937', 'name': 'Dogs', 'description': 'Dogs'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1434808763832094722', 'name': 'We Rate Dogs'}}]",2022-09-20T04:32:30.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'dog_rates', 'id': '4196983835'}], 'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/XhwbpXDTVN', 'expanded_url': 'https://twitter.com/dog_rates/status/1571984958817722368/photo/1', 'display_url': 'pic.twitter.com/XhwbpXDTVN', 'media_key': '3_1571984952882872320'}, {'start': 117, 'end': 140, 'url': 'https://t.co/XhwbpXDTVN', 'expanded_url': 'https://twitter.com/dog_rates/status/1571984958817722368/photo/1', 'display_url': 'pic.twitter.com/XhwbpXDTVN', 'media_key': '3_1571984952891260935'}]}",{},1572081242178215937,en,True,"{'retweet_count': 2676, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571984958817722368'}]",Twitter for iPhone
0,{'media_keys': ['3_1572081599436689409']},279079157,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697078762958848', 'name': 'Pet Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Pets such as pet food, toys, cleaning'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '852262932607926273', 'name': 'Pets', 'description': 'Pets'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '853980498816679937', 'name': 'Dogs', 'description': 'Dogs'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839543325212319744', 'name': 'Animals'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '852262932607926273', 'name': 'Pets', 'description': 'Pets'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '853980498816679937', 'name': 'Dogs', 'description': 'Dogs'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '854024281885335553', 'name': 'French Bulldogs', 'description': 'French Bulldogs'}}, {'domain': {'id': '167', 'name': 'Animals', 'description': ', for animals and types of animals, e.g., cats, birds, marine life, Labrador Retriever'}, 'entity': {'id': '854024281885335553', 'name': 'French Bulldogs', 'description': 'French Bulldogs'}}]",2022-09-20T04:33:57.000Z,"{'annotations': [{'start': 107, 'end': 110, 'probability': 0.7809, 'type': 'Person', 'normalized_text': 'Hoss'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'LisaAlesci', 'id': '1711365822'}, {'start': 12, 'end': 24, 'username': 'Ruttigerrrr', 'id': '1567347337365983236'}], 'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/f9Vi06tHPQ', 'expanded_url': 'https://twitter.com/LauraDrycrklabs/status/1572081606680252416/photo/1', 'display_url': 'pic.twitter.com/f9Vi06tHPQ', 'media_key': '3_1572081599436689409'}]}",{},1572081606680252416,1711365822,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'replied_to', 'id': '1572080002660696065'}]"
0,{'media_keys': ['3_1572081609096196096']},1571147786703470593,2022-09-20T04:33:58.000Z,"{'urls': [{'start': 33, 'end': 56, 'url': 'https://t.co/eveKlZ7STJ', 'expanded_url': 'https://twitter.com/whenwesleep/status/1572081611952517120/photo/1', 'display_url': 'pic.twitter.com/eveKlZ7STJ', 'media_key': '3_1572081609096196096'}]}",{},1572081611952517120,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,he likes to sit on the cat tower https://t.co/eveKlZ7STJ,
0,{'media_keys': ['3_1503190570646523906']},1445196184818118662,2022-09-20T04:33:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Crispy_Dog_', 'id': '838332397624020993'}], 'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/eJiP7eY7Tu', 'expanded_url': 'https://twitter.com/Crispy_Dog_/status/1503190579651690501/photo/1', 'display_url': 'pic.twitter.com/eJiP7eY7Tu', 'media_key': '3_1503190570646523906'}]}",{},1572081610836836352,ko,False,"{'retweet_count': 17985, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1503190579651690501'}]",Twitter Web App,"RT @Crispy_Dog_: 아니야 하이파이브였어
그렇게 자신만만한 표정으로 보지마 https://t.co/eJiP7eY7Tu"
0,"{'media_keys': ['3_1571771652005838848', '3_1571771652265988098']}",4056981494,2022-09-20T04:33:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'cat_auras', 'id': '1538153792373334017'}], 'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/pUXQtlnCqI', 'expanded_url': 'https://twitter.com/cat_auras/status/1571771659241095168/photo/1', 'display_url': 'pic.twitter.com/pUXQtlnCqI', 'media_key': '3_1571771652005838848'}, {'start': 21, 'end': 44, 'url': 'https://t.co/pUXQtlnCqI', 'expanded_url': 'https://twitter.com/cat_auras/status/1571771659241095168/photo/1', 'display_url': 'pic.twitter.com/pUXQtlnCqI', 'media_key': '3_1571771652265988098'}]}",{},1572081609180057601,en,False,"{'retweet_count': 21001, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571771659241095168'}]",Twitter for Android,RT @cat_auras: tired https://t.co/pUXQtlnCqI
0,{'media_keys': ['3_1571791563248009220']},1185285213829636096,2022-09-20T04:33:58.000Z,"{'mentions': [{'start': 3, 'end': 15, 'username': 'USA37107692', 'id': '1506833862235942917'}], 'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/al7BlnBGIE', 'expanded_url': 'https://twitter.com/USA37107692/status/1571791566221766656/photo/1', 'display_url': 'pic.twitter.com/al7BlnBGIE', 'media_key': '3_1571791563248009220'}]}",{},1572081611092692993,en,True,"{'retweet_count': 437, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571791566221766656'}]",Twitter for iPhone,RT @USA37107692: Cat Chara https://t.co/al7BlnBGIE
0,{'media_keys': ['3_1571908040118386690']},881868021614039041,2022-09-20T04:33:58.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'cat_auras', 'id': '1538153792373334017'}], 'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/0MnLV71REu', 'expanded_url': 'https://twitter.com/cat_auras/status/1571908044711235586/photo/1', 'display_url': 'pic.twitter.com/0MnLV71REu', 'media_key': '3_1571908040118386690'}]}",{},1572081608894869504,en,True,"{'retweet_count': 3526, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571908044711235586'}]",Twitter for iPhone,RT @cat_auras: The Cat King https://t.co/0MnLV71REu
0,"{'media_keys': ['3_1571948157881270273', '3_1571948157881270275']}",933120771722846209,2022-09-20T04:33:59.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'cat_auras', 'id': '1538153792373334017'}], 'urls': [{'start': 31, 'end': 54, 'url': 'https://t.co/41L2m64jMM', 'expanded_url': 'https://twitter.com/cat_auras/status/1571948162419400704/photo/1', 'display_url': 'pic.twitter.com/41L2m64jMM', 'media_key': '3_1571948157881270273'}, {'start': 31, 'end': 54, 'url': 'https://t.co/41L2m64jMM', 'expanded_url': 'https://twitter.com/cat_auras/status/1571948162419400704/photo/1', 'display_url': 'pic.twitter.com/41L2m64jMM', 'media_key': '3_1571948157881270275'}]}",{},1572081612766187524,en,False,"{'retweet_count': 8690, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571948162419400704'}]",Twitter for iPhone,RT @cat_auras: i need this hug https://t.co/41L2m64jMM
0,{'media_keys': ['3_1571403227307954177']},597395529,2022-09-20T04:34:00.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'cat_auras', 'id': '1538153792373334017'}], 'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/qM2Rp350V3', 'expanded_url': 'https://twitter.com/cat_auras/status/1571403231804137472/photo/1', 'display_url': 'pic.twitter.com/qM2Rp350V3', 'media_key': '3_1571403227307954177'}]}",{},1572081618055237633,en,False,"{'retweet_count': 24247, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571403231804137472'}]",Twitter for iPhone,RT @cat_auras: I feel like there is an intruder https://t.co/qM2Rp350V3
0,"{'media_keys': ['3_1571841959744114688', '3_1571842283359830016']}",545436831,2022-09-20T04:34:00.000Z,"{'hashtags': [{'start': 25, 'end': 34, 'tag': 'Nora_Cat'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'spiritsmaker', 'id': '1526272116'}], 'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/E9znvEu9HA', 'expanded_url': 'https://twitter.com/spiritsmaker/status/1571843122652680195/photo/1', 'display_url': 'pic.twitter.com/E9znvEu9HA', 'media_key': '3_1571841959744114688'}, {'start': 35, 'end': 58, 'url': 'https://t.co/E9znvEu9HA', 'expanded_url': 'https://twitter.com/spiritsmaker/status/1571843122652680195/photo/1', 'display_url': 'pic.twitter.com/E9znvEu9HA', 'media_key': '3_1571842283359830016'}]}",{},1572081619745525760,ja,False,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571843122652680195'}]",Twitter for iPhone,"RT @spiritsmaker: ﾁｭｳ...
#Nora_Cat https://t.co/E9znvEu9HA"
0,{'media_keys': ['3_1571437882392416257']},949199443,2022-09-20T04:34:02.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'cat_auras', 'id': '1538153792373334017'}], 'urls': [{'start': 22, 'end': 45, 'url': 'https://t.co/uuJJC2jCa5', 'expanded_url': 'https://twitter.com/cat_auras/status/1571437886511239170/photo/1', 'display_url': 'pic.twitter.com/uuJJC2jCa5', 'media_key': '3_1571437882392416257'}]}",{},1572081629153361924,en,False,"{'retweet_count': 34947, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571437886511239170'}]",Twitter for iPhone,RT @cat_auras: not me https://t.co/uuJJC2jCa5
0,"{'media_keys': ['3_1571984952882872320', '3_1571984952891260935']}",2518280094,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1434808763832094722', 'name': 'We Rate Dogs'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697078762958848', 'name': 'Pet Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Pets such as pet food, toys, cleaning'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '852262932607926273', 'name': 'Pets', 'description': 'Pets'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '853980498816679937', 'name': 'Dogs', 'description': 'Dogs'}}, {'domain': {'id': '120', 'name': 'Digital Creator', 'description': 'Influencers who create content on digital platforms'}, 'entity': {'id': '1434808763832094722', 'name': 'We Rate Dogs'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839543325212319744', 'name': 'Animals'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '839543456678596608', 'name': 'Digital creators'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '852262932607926273', 'name': 'Pets', 'description': 'Pets'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '853980498816679937', 'name': 'Dogs', 'description': 'Dogs'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '1434808763832094722', 'name': 'We Rate Dogs'}}]",2022-09-20T04:34:03.000Z,"{'mentions': [{'start': 3, 'end': 13, 'username': 'dog_rates', 'id': '4196983835'}], 'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/XhwbpXDTVN', 'expanded_url': 'https://twitter.com/dog_rates/status/1571984958817722368/photo/1', 'display_url': 'pic.twitter.com/XhwbpXDTVN', 'media_key': '3_1571984952882872320'}, {'start': 117, 'end': 140, 'url': 'https://t.co/XhwbpXDTVN', 'expanded_url': 'https://twitter.com/dog_rates/status/1571984958817722368/photo/1', 'display_url': 'pic.twitter.com/XhwbpXDTVN', 'media_key': '3_1571984952891260935'}]}",{},1572081629765541888,en,False,"{'retweet_count': 2679, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1571984958817722368'}]",Twitter for iPhone
0,"{'media_keys': ['3_1572046571050618880', '3_1572046571050606593']}",4206463228,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '808720282332450816', 'name': 'Paris Hilton', 'description': 'Paris Hilton'}}, {'domain': {'id': '58', 'name': 'Entertainment Personality', 'description': 'An entertainment personality in the world, like Anderson Cooper or Miranda Sings'}, 'entity': {'id': '808720282332450816', 'name': 'Paris Hilton', 'description': 'Paris Hilton'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy view into the Semantic Core knowledge graph'}, 'entity': {'id': '808720282332450816', 'name': 'Paris Hilton', 'description': 'Paris Hilton'}}]",2022-09-20T04:34:03.000Z,"{'mentions': [{'start': 3, 'end': 17, 'username': 'ChristianM_28', 'id': '1198208899'}, {'start': 31, 'end': 43, 'username': 'ParisHilton', 'id': '24929621'}], 'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/bXbce1HUHZ', 'expanded_url': 'https://twitter.com/ChristianM_28/status/1572046576692133891/photo/1', 'display_url': 'pic.twitter.com/bXbce1HUHZ', 'media_key': '3_1572046571050618880'}, {'start': 59, 'end': 82, 'url': 'https://t.co/bXbce1HUHZ', 'expanded_url': 'https://twitter.com/ChristianM_28/status/1572046576692133891/photo/1', 'display_url': 'pic.twitter.com/bXbce1HUHZ', 'media_key': '3_1572046571050606593'}]}",{},1572081633238319105,en,True,"{'retweet_count': 25, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'type': 'retweeted', 'id': '1572046576692133891'}]",Twitter for iPhone
